term_id,ledger_class,owner,mathematical_definition,conjugate_input,conjugate_rate,sign_in_balance,stage_status,double_count_guard,verification_id
E_SUPPORT_LATERAL,stored_energy,full_patch_lateral_environment,"0.5*sum_i w_i*(x_i-y_i)^T*K_lateral*(x_i-y_i)",lateral-support relative displacement,relative velocity,lhs_time_derivative,frozen_stage0_not_authorized,"owned only by outward perimeter myocardial lateral faces",SUPPORT-OWNER
E_FIXTURE_D,stored_energy,gate_D_fixture,"0.5*sum_i w_i*(x_i-y_i)^T*K_fixture*(x_i-y_i)",fixture relative displacement,relative velocity,lhs_time_derivative,frozen_stage0_not_authorized,"exists only in Gate D on ECM.outer_facing_boundary",GATED-FIXTURE-PORT
D_CELL,dissipation,cell_drag,"sum_i zeta_i*||v_i||^2",cell nodal velocity,cell nodal velocity,lhs_positive,frozen_stage0_not_authorized,"reported once over all DCM nodes",DISSIPATION-NONNEGATIVE
D_ECM_INTERNAL,dissipation,ECM_internal_variable,"integral eta_ve*||Z_dot||_F^2 dV0",thermodynamic force,Z_dot,lhs_positive,frozen_stage0_not_authorized,"must equal -dW_ve/dZ:Z_dot",ECM-RELAXATION
D_SUPPORT_OUTER,dissipation,full_patch_outer_environment,"sum_i w_i*(v_i-y_dot_i)^T*C_outer*(v_i-y_dot_i)",outer-support relative velocity,relative velocity,lhs_positive,frozen_stage0_not_authorized,"not merged with cell drag",SUPPORT-LEDGER
D_SUPPORT_LATERAL,dissipation,full_patch_lateral_environment,"sum_i w_i*(v_i-y_dot_i)^T*C_lateral*(v_i-y_dot_i)",lateral-support relative velocity,relative velocity,lhs_positive,frozen_stage0_not_authorized,"disabled in periodic sensitivity only",SUPPORT-LEDGER
D_FIXTURE_D,dissipation,gate_D_fixture,"sum_i w_i*(v_i-y_dot_i)^T*C_fixture*(v_i-y_dot_i)",fixture relative velocity,relative velocity,lhs_positive,frozen_stage0_not_authorized,"exists only in Gate D",GATED-FIXTURE-PORT
D_CONTACT,dissipation,nonconservative_contact,"0 in v02 primary route",none,none,lhs_positive,frozen_zero,"steric and adhesion are conservative stored energies; friction disabled",DISSIPATION-NONNEGATIVE
P_ACTIVE,input_power,preferred_length_controller,"(dPsi_active/dLf_star)*Lf_star_dot=-kf*(Lf-Lf_star)*Lf_star_dot",Lf_star,Lf_star_dot,rhs_positive,frozen_stage0_not_authorized,"do not negate again or merge with E_ACTIVE",ACTIVE-POWER-SIGN
P_PRESSURE,input_power,blood_pressure_port,"sum_apical A_face*(-p*n_a) dot v_face",pressure traction,apical face velocity,rhs_positive,frozen_stage0_not_authorized,"endocardial apical owner only; current normal",LOAD-PRESSURE-NORMAL
P_WSS,input_power,blood_WSS_port,"sum_apical A_face*[(I-n_a tensor n_a)*tau_w] dot v_face",WSS traction,apical face velocity,rhs_positive,frozen_stage0_not_authorized,"endocardial apical owner only; separate from chi_E",LOAD-WSS-TANGENTIAL
P_ENVIRONMENT,input_power,moving_full_patch_support_reference,"sum (dPsi_support/dy) dot y_dot",support reference position,support reference velocity,rhs_positive,frozen_zero_for_registered_cases,"registered reference is fixed; dissipations remain on lhs",SUPPORT-LEDGER
P_FIXTURE_D,input_power,moving_gate_D_fixture_reference,"sum (dPsi_fixture/dy) dot y_dot",fixture reference position,fixture reference velocity,rhs_positive,frozen_zero_for_registered_cases,"Gate D only; fixed reference; never reused in full patch",GATED-FIXTURE-PORT
X_CHI_E,excluded_nonmechanical,flow_sensor,"tau_chi*chi_E_dot=G(||tau_w||)-chi_E",WSS magnitude,chi_E evolution,excluded,diagnostic_only,"WSS mechanical input already owned by P_WSS",SENSOR-CHI-EXCLUDED
X_INTERNAL_PAIR_TRANSFER,excluded_internal_transfer,steric_and_material_pairs,"f_A=-f_B from the same complete potential gradient",pair displacement,pair relative velocity,excluded,frozen_stage0_not_authorized,"internal pair power is not external input",CONTACT-ACTION-REACTION
X_GAUGE,excluded_constraint_reaction,numerical_gauge,"constraint reaction power=0 within tolerance",constraint multiplier,constraint rate,excluded,diagnostic_only,"never relabel as support or dissipation",GAUGE-ZERO-POWER
X_A_H_TURNOVER,excluded_frozen_process,ECM_turnover,"A_hat_dot=0 and H_ECM_hat_dot=0",A_hat and H_ECM_hat,zero,excluded,frozen_zero,"A_hat and H_ECM_hat remain distinct",AH-SEPARATION
X_J_MYO,excluded_frozen_process,myocardial_basal_source,"j_myo=0",basal source map,zero,excluded,frozen_zero,"mapping may be tested but flux and source power are zero",SOURCE-JMYO-ZERO
R_POWER,power_residual,whole_model,"dPsi_total/dt+D_total-P_input_total",all registered terms,time,rhs_minus_lhs,required_not_authorized,"every stored energy dissipation and input has exactly one owner",POWER-INTEGRATED-RESIDUAL
